m/z,BY0_000001
245.6157822245618,400511.34375
246.0187491942145,408090.25
246.0189879805393,417902.3125
246.029639667412,326877.78125
246.0298454005771,260432.1875
246.1446875328158,295061.3125
246.1449220748283,368633.0625
246.1813078713356,527314.375
246.952696153795,372094.78125
246.9843224903945,276169.125
247.01240542648,655932.4375
247.0125890736467,947357.0625
247.0140283118224,1650220.125
247.0142226978468,1737574.75
247.1288767144299,599779.375
248.1241470928148,260374.46875
248.1605620771089,657991.625
249.0282628381229,397659.5625
249.045551323308,594383.3125
249.1459868678538,339294.46875
249.1461679525215,384712.0625
249.1571352756555,269261.15625
249.1574710311352,289434.34375
249.1825264622756,314907.96875
249.2211136073213,237624.4375
249.2213695797216,263267.46875
249.5035831446741,440596.03125
249.5038961970239,338644.0
249.9299041938924,626747.8125
249.9837406804086,532421.25
249.9839519221679,718701.375
250.0857801668462,278014.8125
250.0861195882466,1364908.75
250.0863385329157,1659095.875
250.0935193196151,405147.09375
250.1220096220872,360023.09375
250.1775095834595,286317.34375
250.1778521521159,586080.25
250.9294271237692,256857.796875
250.9714131730406,555097.4375
250.9716325039077,638395.625
251.0072590244695,265154.96875
251.0340646335081,377727.125
251.0343155893,479116.125
251.0436468320156,258745.578125
251.0687462276127,300394.03125
251.0694876288904,7702094.5
251.0696919528458,9170082.0
251.0702675644092,522294.53125
251.0896787781365,288711.5625
251.1278700869371,389280.21875
251.1616194977095,253020.203125
251.1640258849789,257621.0625
251.198188821722,620481.5625
251.2076169929295,237816.53125
251.2369024260658,296682.46875
251.928056860652,305781.84375
251.9728149863503,288364.25
251.9730907542503,558497.3125
252.072826006619,699506.5625
252.073049032197,724595.1875
252.0732873581202,285741.375
252.9737973184794,1516620.375
253.0595076925747,468599.25
253.0652719027951,304692.625
253.0655132948338,467849.90625
253.0837518841809,379359.65625
253.1409349680087,260026.984375
253.1434096994691,511881.84375
253.2161409289319,647303.8125
253.811259057133,239557.125
254.0188099208078,417552.375
254.0190860022537,423038.0
254.0320284416699,266324.625
254.0322967825074,349017.21875
254.161033649171,939307.375
254.1612071410887,989961.75
254.9577393849194,289515.25
255.0628378167519,386899.5625
255.0974133778357,1588603.75
255.0976279263412,1543748.625
255.0991508694991,369502.78125
255.0993395059873,461102.875
255.1357883453735,364853.46875
255.1451930766364,579469.4375
255.1592441927945,299525.46875
255.230964257944,410767.53125
255.231901781851,9923318.0
255.2328556018522,301406.84375
255.2680867794188,370631.75
255.2682829074918,403071.09375
255.8950300778625,395645.96875
255.8952526409634,276788.65625
256.0304672724161,284427.625
256.0814090357251,812344.375
256.0816386037036,960384.625
256.2271155985218,324115.03125
256.2350765661063,1576513.375
256.2352571574536,1691398.375
256.2633510282997,469191.40625
256.263572407991,603482.8125
256.2993053053862,297267.53125
256.2997548813441,2916833.5
256.2999361722295,3127450.25
256.3005427076971,304777.84375
256.9300710950301,241380.3125
256.9492635479669,356249.15625
257.0168136260459,398662.84375
257.0170546624937,289952.53125
257.0420888204056,256072.546875
257.1061185893942,352136.1875
257.1242713718416,576479.4375
257.1245119976048,687957.5625
257.1510025659197,244900.6875
257.2383355954196,314283.875
257.2464569699495,337258.90625
257.247559511202,13011154.0
257.2485241659423,392895.6875
257.3032657715704,586933.0
257.3269102940904,255001.0625
258.1080866887206,368969.25
258.1082773335554,357524.40625
258.1085901397678,562131.9375
258.1087579572189,666029.375
258.1090516382862,1042583.125
258.1101652878962,54256868.0
258.1112783301272,764846.5625
258.1115627620819,564161.6875
258.1118601514787,391896.5
258.1121723493824,298976.21875
258.1447691022533,268176.96875
258.1700018333794,268684.375
258.2064153550736,581496.5625
258.2509252516103,2333127.5
258.2791712871673,415208.0625
258.6503924435211,314583.9375
258.9644707905332,373538.15625
258.9648887740456,877081.0
258.9792656197197,582509.375
258.9794954435819,678486.875
258.9872252166587,325151.125
258.9874438733318,427448.65625
259.0412471198942,259707.328125
259.0490035744194,443028.9375
259.0577580317827,265067.84375
259.1127594516624,286270.21875
259.1135093271943,4221947.5
259.1139507982345,430650.9375
259.12892937186,2582387.25
259.1904425047233,283755.5
259.2541342001908,319972.96875
259.6313802646407,368634.90625
259.9488601817644,397599.5625
259.967657586559,265108.21875
260.0530433396792,716988.3125
260.0698231727338,293044.15625
260.0700173529422,287401.375
260.1141820903173,444909.375
260.1144371171748,806032.125
260.1321122605567,240409.453125
260.1323416283424,244494.546875
260.1969028020835,557137.625
260.3786695944294,2575031.75
260.7119017776855,546364.0
260.7131443851344,475284.0625
260.9893901119333,405346.09375
261.0024053063642,418114.09375
261.0030841432605,5487084.0
261.0046954486936,242235.328125
261.0281404898432,268789.03125
261.0368348639615,340425.90625
261.0370879169111,446657.09375
261.0443067586514,413459.125
261.0523540385026,639976.75
261.0644438774508,246427.9375
261.0886212333397,658042.25
261.0888365083643,513834.28125
261.1170854385283,235975.0
261.1277496698031,255237.03125
261.1307278283933,882942.9375
261.130946961915,789352.8125
261.1443678544171,364883.5625
261.1446129054174,381223.125
261.1556855220922,794519.875
261.9081689065439,374412.3125
261.9084350866367,275908.5
262.0063765206158,419129.03125
262.1032460306508,405992.0625
262.103457256105,419566.9375
262.1395907255727,439149.46875
262.1398045552019,596819.0
262.1508280724505,300248.46875
262.1510565588284,377121.4375
262.9978608995432,247823.890625
263.007252650195,247728.296875
263.0813275527334,377269.84375
263.0815204872285,310202.0
263.1983060947926,280479.8125
263.2368238611433,293528.71875
264.0389398241004,242365.0625
265.0231482687319,5462112.0
265.0850502201757,301874.15625
265.0853215952728,466899.90625
265.1098120685755,298273.75
265.1100542037919,397989.09375
265.1118064427912,41230996.0
265.1133647312561,380658.875
265.1136192404272,394521.25
265.1139388421504,351692.5
265.1141861922816,274566.96875
265.1200758654256,545393.5
265.1311398890858,494713.84375
265.1313644860905,568216.25
265.1797951843719,276288.25
265.2138114278339,404018.78125
265.2160503473986,351759.375
265.2523903594059,382219.03125
265.2526490451901,289488.5625
265.9593073039943,353140.1875
265.9595667153686,613947.9375
266.0264842346648,441932.90625
266.0763525521572,515270.84375
266.1086697926791,534170.9375
266.1088855558512,536550.625
266.1111645347272,404646.625
266.1151533335736,5408241.0
266.1512389675404,270313.21875
266.1515518915554,1227752.0
266.1725371923778,1292573.25
266.1727425610429,1273245.5
266.3779433616695,259204.984375
266.6391906904693,1975868.125
266.9246860285397,392144.8125
266.9435205914159,484032.46875
267.0387324813712,715854.25
267.0994350200614,271515.8125
267.1076148241547,1780815.625
267.1085960378623,299013.21875
267.1088517492852,248432.359375
267.1184594531243,369853.03125
267.120112787955,304012.625
267.1204207254802,330512.1875
267.1355554742225,250385.953125
267.1407091610048,492236.78125
267.1409186700471,531280.625
267.1551204480808,375503.5625
267.163282510528,257005.09375
267.1719646685464,251526.328125
267.1760957335327,280147.0625
267.1953962227104,299233.375
267.6105464323193,248214.375
267.9576726639395,297035.5
268.1028941029142,354780.375
268.1032096359791,421639.59375
268.1040870081945,9403877.0
268.1051128353425,266479.34375
268.1108478929305,325211.84375
268.1178880698168,254062.359375
268.4884929724214,253997.375
268.9417976603493,314058.21875
268.943446849001,283077.625
269.0785781960661,469012.34375
269.1074115960386,1139589.125
269.115060900923,315911.5
269.1389056455884,273489.03125
269.1606612549513,1071412.5
269.1608967564567,1227262.25
269.2087765303155,270489.40625
269.2109417865787,304264.03125
269.2112465092584,363676.46875
269.2474288407261,831630.625
269.2839674232728,245373.890625
270.1195550488357,503209.25
270.1559725015242,388101.65625
270.2428129180542,278937.6875
270.279092453221,333698.125
270.4665728820717,248751.875
270.9476661073296,342587.78125
270.9478931882659,329328.40625
271.1036991957603,984362.3125
271.1151423508838,271229.71875
271.154005644832,286662.0625
